"filename","band","tag","stage","first_set"
"logos/band_keystone_brass.png","Keystone Brass","other","Jazz Cabaret","2026-08-02 5:30 PM"
"logos/band_faith_sedicum.png","Faith Sedicum","other","Liederplatz","2026-08-02 5:30 PM"
"logos/band_steel_town_blues.png","Steel Town Blues","other","Hotel Bethlehem","2026-08-02 5:30 PM"
"logos/band_sean_marshall_and_cardinal_heart.png","Sean Marshall & Cardinal Heart","other","Americaplatz","2026-08-02 6:00 PM"
"logos/band_third_eye_blind.png","Third Eye Blind","other","Steel Stage","2026-08-02 6:00 PM"
"logos/band_whiskey_and_roses.png","Whiskey and Roses","other","Festplatz","2026-08-02 6:00 PM"
"logos/band_blair_crimmins_and_the_hookers.png","Blair Crimmins & The Hookers","other","Stadtplatz","2026-08-02 6:00 PM"
"logos/band_ruby_dear.png","Ruby Dear","other","Zinzenplatz","2026-08-02 6:30 PM"
"logos/band_reservoir_hill.png","Reservoir Hill","other","Liederplatz","2026-08-02 7:00 PM"
"logos/band_cocomama.png","Cocomama","other","Plaza Tropical","2026-08-02 7:00 PM"
"logos/band_john_hollier_and_the_reverie.png","John Hollier & the Reverie","other","Stadtplatz","2026-08-02 7:30 PM"
"logos/band_marcella_simien.png","Marcella Simien","other","Americaplatz","2026-08-02 7:30 PM"
"logos/band_the_valley_collective.png","The Valley Collective","other","Lagerplatz","2026-08-02 8:00 PM"
"logos/band_dan_wilkins_quartet.png","Dan Wilkins Quartet","other","Jazz Cabaret","2026-08-02 8:00 PM"
"logos/band_jake_ortiz.png","Jake Ortiz","other","Lyrikplatz","2026-08-02 8:00 PM"
"logos/band_cody_templeton_and_co.png","Cody Templeton & Co.","other","Festplatz","2026-08-02 8:30 PM"
"logos/band_frontiers_a_tribute_to_journey.png","Frontiers: A Tribute to Journey","other","Zinzenplatz","2026-08-02 8:30 PM"
"logos/band_joy_and_the_wildfire.png","Joy and the Wildfire","other","Main Street","2026-08-02 8:30 PM"
"logos/band_craig_thatcher_quintet.png","Craig Thatcher Quintet","other","Liederplatz","2026-08-02 9:00 PM"
"logos/band_orquesta_xariz.png","Orquesta Xariz","other","Plaza Tropical","2026-08-02 9:00 PM"
"logos/band_the_clarks.png","The Clarks","other","Stadtplatz","2026-08-02 9:30 PM"
"logos/band_nicole_atkins.png","Nicole Atkins","other","Americaplatz","2026-08-02 9:30 PM"
"logos/band_lady_white_rat.png","Lady White Rat","other","Community Stage","2026-08-02 11:00 PM"
"logos/band_alexa_tabbacchino.png","Alexa Tabbacchino","other","Lagerplatz","2026-08-03 12:00 PM"
"logos/band_joe_stanky_and_the_cadets.png","Joe Stanky & the Cadets","other","Festplatz","2026-08-03 12:00 PM"
"logos/band_wallenpaupack_area_middle_school_modern_band.png","Wallenpaupack Area Middle School Modern Band","other","Plaza Tropical","2026-08-03 12:00 PM"
"logos/band_vodou.png","Vodou","other","Plaza Tropical","2026-08-03 1:00 PM"
"logos/band_stacy_gabel.png","Stacy Gabel","other","Main Street","2026-08-03 1:30 PM"
"logos/band_famous_prophets.png","Famous Prophets","other","Plaza Tropical","2026-08-03 2:00 PM"
"logos/band_littlebird_duo.png","littlebird duo","other","Main Street","2026-08-03 3:00 PM"
"logos/band_cold_start.png","Cold Start","other","Plaza Tropical","2026-08-03 3:00 PM"
"logos/band_starting_tomorrow.png","Starting Tomorrow","other","Festplatz","2026-08-03 3:30 PM"
"logos/band_lone_till_payday.png","Lone Till Payday","other","Plaza Tropical","2026-08-03 4:00 PM"
"logos/band_llw.png","LLW","other","Main Street","2026-08-03 4:30 PM"
"logos/band_ten_tiny_dances_a_bellydance_bazaar.png","Ten Tiny Dances | A Bellydance Bazaar","other","Community Stage","2026-08-03 4:30 PM"
"logos/band_parkland_strolling_strings_quartet.png","Parkland Strolling Strings Quartet","other","Vesper Series","2026-08-03 5:00 PM"
"logos/band_zoey_and_the_iconic.png","Zoey & the Iconic","other","Zinzenplatz","2026-08-03 5:00 PM"
"logos/band_gt3_jazz_standards.png","GT3-Jazz Standards!","other","Liederplatz","2026-08-03 5:00 PM"
"logos/band_adeline_csontos.png","Adeline Csontos","other","Lyrikplatz","2026-08-03 5:00 PM"
